venue_id,venue_name,suburb,year,coffee_item,coffee_size,price_aud,source_url,archive_url,source_date,source_type,confidence,notes
the-crabbe-hole,The Crabbe Hole,bondi-beach,2026,Flat White,regular,4.5,https://ritual.co/order/the-crabbe-hole-poolside-bondi-icebergs-bondi-beach/635f,,2026-08-11,menu-platform,MEDIUM,The Crabbe Hole has no owned website/menu URL in the dataset; price captured from the venue's order-ahead page on ritual.co. Regular Flat White used per benchmark (large excluded).
gertrude-and-alice-cafe-bookstore,Gertrude & Alice Cafe Bookstore,bondi-beach,2026,Coffee (Regular) — flat white/latte/long black/cappuccino,regular,5,https://www.gertrudeandalice.com.au/cafe-menu/,,2026-08-11,official-menu,HIGH,"Coffee priced by size, not by drink type; regular flat white = $5 (large $5.70). Fetched live via curl (WebFetch/aggregators returned 403). Site footer shows '© 2024' but page is the current live cafe menu. Soy/almond/coconut +50c excluded per benchmark."
glory-days,Glory Days,bondi-beach,2026,Flat white (regular),regular,5.5,https://glorydaysbondi.com.au/,,2026-08-11,official-site,HIGH,Regular = $5.50; large versions $6.50 (excluded). Same price across latte/flat white/cappuccino/mocha/long black.
porch-and-parlour,Porch & Parlour,north-bondi,2026,"Latte, Flat White, Cappuccino",regular,5.5,https://www.porchandparlour.com/menus,,2026-08-11,official-menu,HIGH,Official website drinks menu lists flat white together with latte/cappuccino at a single regular price of $5.50.
speedos-cafe,Speedos Cafe,north-bondi,2026,Vittoria Coffee (regular),regular,5,https://speedoscafe.com.au/menu/,,2026-08-11,official-menu,MEDIUM,"Official menu lists a single 'Vittoria Coffee' line covering all standard espresso coffees (flat white/latte/cappuccino) rather than a flat-white-specific line; regular size $5.00 applies to a flat white. MEDIUM because item is a generic coffee line, not explicitly labelled flat white."
cali-press,Cali Press,bondi-beach,2026,8oz Flat White,regular,4.8,https://calipress.redcatcloud.com.au/api/v1/stores/4/menu,,2026-08-11,menu-platform,HIGH,"Venue's own RedCat online-ordering menu API (StoreID 4 = Bondi Beach, 2/16 Hall St). Prices returned in cents. 6oz & 8oz Flat White = $4.80, 12oz Flat White = $5.30; regular/small taken as 8oz $4.80. Live pickup/ordering menu, not a third-party delivery app."
pocket-bondi,Pocket Bondi,campbell-parade,2026,flat white,regular,5.5,https://www.pocketbondi.com/s/pkt-brekkie.pdf,,2026-08-11,official-menu,HIGH,Official breakfast/drinks PDF linked from pocketbondi.com (redirects to Squarespace CDN). Coffee section lists two sizes; regular/small = 5.5. cappuccino and latte also 5.5/6.
surfish-bondi-seafood-cafe,Surfish Bondi Beach,bondi-beach,2026,Flat White,regular,5.5,https://surfishbondibeach.com.au/menu,,2026-08-11,official-site,HIGH,"Grouped coffee line on official menu page; Sml (regular) = 5.5, Lrg = 6.2. Alt milk / extra shot / decaf +0.70 excluded per benchmark."
blackwood-bondi,Blackwood Bondi,north-bondi,2026,White (flat white / cappuccino / latte),regular,5.2,https://cdn.prod.website-files.com/6818395422c5fd87768cd248/69c246d0f591f03a63a59262_WINTER%202026%20Framed%20.pdf,,2026-08-11,official-menu,HIGH,"WINTER 2026 menu PDF linked from blackwoodhospitality.com.au. 'White' is the milk-coffee (flat white/latte/cappuccino) line; regular 5.2, Large +1. Alternative milks +0.70."
up-south-bondi,Up South Bondi,bondi-road,2026,Flat White (regular),regular,4.5,https://www.upsouthbondicafe.com/_files/ugd/80823b_9a050ea0a033441390796afbbdcdf55a.pdf,,2026-08-11,official-menu,HIGH,"Official website PDF menu (Autumn/Winter). Single regular price covers all espresso coffees; Flat White explicitly listed. Alt milk +80c, extra shot +50c excluded."
the-nine,The Nine,bondi-beach,2026,Flat White (Regular),regular,5,https://theninesydney.com.au/menu/,,2026-08-11,official-site,HIGH,Official site menu. Flat White listed by name under Fresh Roasts at Regular $5.00. Extra shot/alt milk +$0.50 excluded.
bean-tree-cafe,Bean Tree Cafe,bondi-road,2026,Flat White (Cup),regular,5.7,https://www.beantreecafe.org/menus,,2026-08-11,official-site,HIGH,Official site drinks menu. Cup = regular size; Mug ($6.7) is the larger option and excluded.
the-health-emporium,The Health Emporium,bondi-road,2026,"Coffee (regular, dairy milk)",regular,4.95,https://www.healthemporium.com.au/menu/,,2026-08-11,official-site,MEDIUM,Menu lists a single generic 'Coffee' price (no flat white named individually); this regular price applies to standard espresso coffees. Marked MEDIUM because the flat white is not itemised separately.
kazzi-beach-greek-bondi,Kazzi Beach Greek Bondi,bondi-beach,2026,Flat White,regular,5.5,https://kazzibeachgreek.com.au/drinks-menu/,,2026-08-11,official-menu,HIGH,"Verbatim from the official Hot & Cold Drinks menu page (kazzibeachgreek.com.au/drinks-menu/), retrieved via curl (WebFetch returned intermittent 503). Regular flat white = $5.50."
harrys-bondi,Harry's Bondi,,2026,Espresso — White (seasonal blend),regular,4.5,https://harrysbondi.com.au/wp-content/uploads/2023/07/Drink-menu.pdf,,2026-08-11,official-pdf,HIGH,"Official Harry's Bondi drink menu PDF. Hot coffee is priced as a single 'ESPRESSO' line at 4.5 with WHITE (milk) and BLACK variants; a regular white coffee (flat white/latte/cappuccino) is 4.5, +1 for large."
bennett-st-dairy,Bennett St Dairy,bondi-road,2026,Flat White,regular,5.5,https://drive.google.com/uc?export=download&id=1O5WFhas5tLjxr4MZyqTISxZ1D_dUbE8A,,2026-08-11,official-pdf,HIGH,BEVERAGES PDF linked from official site bennettstdairy.com; coffee by Pablo & Rusty (Trailblazer Blend). Regular flat white = cappuccino = 5.5.
bills-bondi-beach,bills Bondi Beach,bondi-beach,2026,Flat White (regular),regular,5.90,https://www.bills.com.au/locations/bondi-beach,,2026-08-11,owner-reported,HIGH,Regular flat white; reported first-hand by the Visit Bondi Beach team from the in-store menu (bills posts no online price).
