query,intent_cluster,intent_type,funnel_stage,demand_tier_est,commercial_tier_est,ai_citation_potential,mapped_url_or_gap,recommended_action
bondi beach,Core destination,navigational,TOFU,H,M,H,/bondi-beach,own via existing
bondi,Core destination,navigational,TOFU,H,M,M,/bondi-beach,own via existing
bondi beach sydney,Core destination,navigational,TOFU,H,M,H,/bondi-beach,own via existing
visit bondi beach,Core destination,informational,TOFU,H,M,H,/visit-bondi-beach,own via existing
bondi beach guide,Core destination,informational,TOFU,H,M,H,/visit-bondi-beach-guide,own via existing
bondi beach travel guide,Core destination,informational,TOFU,H,M,H,/visit-bondi-beach-guide,own via existing
bondi beach australia,Core destination,navigational,TOFU,H,L,M,/bondi-beach,own via existing
where is bondi beach,Core destination,informational,TOFU,M,L,H,/bondi-beach,belongs-on-hub
what is bondi beach,Core destination,informational,TOFU,M,L,H,/bondi-beach,belongs-on-hub
bondi beach map,Core destination,informational,TOFU,M,L,M,/bondi-beach,upgrade existing
bondi beach facts,Core destination,informational,TOFU,M,L,H,/bondi-blog/Bondi-beach-history,own via existing
why is bondi beach famous,Core destination,informational,TOFU,M,L,H,/bondi-blog/why-is-bondi-beach-famous,own via existing
why is bondi beach so special,Core destination,informational,TOFU,L,L,M,/bondi-blog/why-is-bondi-beach-so-special,own via existing
why is bondi beach so popular,Core destination,informational,TOFU,M,L,M,/bondi-blog/why-is-bondi-so-popular,own via existing
how to pronounce bondi,Core destination,informational,TOFU,M,L,H,/bondi-blog/how-to-pronounce-bondi-beach,own via existing
bondi beach history,Core destination,informational,TOFU,M,L,H,/bondi-blog/Bondi-beach-history,own via existing
bondi beach meaning name origin,Core destination,informational,TOFU,L,L,H,/bondi-blog/Bondi-beach-history,belongs-on-hub
is bondi beach worth visiting,Core destination,informational,TOFU,M,L,H,/visit-bondi-beach-guide,belongs-on-hub
what is bondi beach known for,Core destination,informational,TOFU,M,L,H,/bondi-blog/why-is-bondi-beach-famous,own via existing
bondi beach webcam live,Core destination,informational,TOFU,M,L,M,/bondi-blog/2025/1/5/catch-the-waves-live-bondi-beach-surf-cam,own via existing
north bondi,Core destination,navigational,TOFU,M,L,M,/north-bondi,own via existing
ben buckler point bondi,Core destination,informational,TOFU,L,L,M,/ben-buckler,own via existing
bondi pavilion,Core destination,navigational,TOFU,M,L,M,/bondi-pavilion,own via existing
things to do in bondi beach,Things to do,informational,TOFU,H,M,H,/things-to-do-in-bondi,own via existing
things to do in bondi,Things to do,informational,TOFU,H,M,H,/things-to-do-in-bondi,own via existing
what to do in bondi beach,Things to do,informational,TOFU,H,M,H,/things-to-do-in-bondi,own via existing
bondi beach activities,Things to do,informational,TOFU,H,M,H,/things-to-do-in-bondi,own via existing
best things to do bondi,Things to do,informational,TOFU,H,M,H,/bondi-blog/34-best-things-to-do-bondi-beach,own via existing
free things to do in bondi,Things to do,informational,TOFU,M,L,H,/things-to-do-in-bondi,belongs-on-hub
bondi hidden gems,Things to do,informational,TOFU,M,L,H,/bondi-blog/hidden-gems-bondi-beach,own via existing
unique things to do in bondi,Things to do,informational,TOFU,M,M,M,/bondi-blog/2025/4/25/9-unique-bondi-beach-experiences-to-try-beyond-the-sand-and-surf,own via existing
bondi beach attractions,Things to do,informational,TOFU,M,L,M,/things-to-do-in-bondi,own via existing
bondi pavilion what's on,Things to do,informational,TOFU,L,L,M,/bondi-pavilion,own via existing
bondi graffiti wall street art,Things to do,informational,TOFU,L,L,M,GAP,NEW page
bondi skate park,Things to do,informational,TOFU,L,L,M,GAP,NEW page
bondi golf course,Things to do,commercial,MOFU,L,M,M,/bondi-blog/bondi-beach-golf-course,own via existing
bondi outdoor gym muscle beach,Things to do,informational,TOFU,M,L,H,/bondi-blog/bondi-muscle-beach,own via existing
bondi beach yoga classes,Things to do,commercial,MOFU,M,M,M,GAP,NEW page
metal detecting bondi beach,Things to do,informational,TOFU,L,L,M,/bondi-blog/2024/9/18/guide-to-metal-detecting-at-bondi-beach,own via existing
bondi beach volleyball,Things to do,informational,TOFU,L,L,M,GAP,belongs-on-hub
snorkelling bondi,Things to do,informational,TOFU,M,L,H,/bondi-blog/2025/1/10/the-best-places-to-snorkel-in-and-around-bondi,own via existing
stand up paddleboarding bondi,Things to do,commercial,MOFU,L,M,M,GAP,NEW page
kayaking bondi beach,Things to do,commercial,MOFU,L,M,M,GAP,NEW page
scuba diving bondi,Things to do,commercial,MOFU,L,M,M,GAP,NEW page
bondi bike hire,Things to do,commercial,MOFU,L,M,M,GAP,NEW page
bondi beach sunday drummers,Things to do,informational,TOFU,L,L,M,/bondi-blog/2023/9/19/a-guide-to-the-bondi-beach-sunday-drummer,own via existing
bondi icebergs,Icebergs & ocean pools,navigational,MOFU,H,M,H,/bondi-icebergs,own via existing
bondi icebergs pool,Icebergs & ocean pools,informational,MOFU,H,M,H,/bondi-icebergs,own via existing
bondi icebergs entry fee price,Icebergs & ocean pools,transactional,BOFU,H,H,H,/bondi-blog/2025/4/30/bondi-icebergs-ocean-pool-faq-20-essential-questions-answered-hours-fees-membership-more,own via existing
