rank,score,type,cluster,opportunity,traffic,commercial,rankWin,aiUseful,topicalAuth,backlink,strategic
1,87,Create,Coastal,Complete the Bondi→Coogee coastal-walk cluster (pillar + 5 spokes + link web),4,3,5,4,5,5,5
2,81.8,Create,Architecture,Parking hub (/bondi-parking) above the 4 parking winners,5,2,5,3,5,3,5
3,77.4,Upgrade,Moat,"Defend & expand the Bondi Rescue moat (site’s #1 topic, 3,452 views)",5,2,5,3,4,3,4
4,76.8,Create,Gap,Surf lessons editorial guide (decision layer above Viator/GYG),3,5,5,4,3,2,4
5,76.4,Upgrade,Architecture,Promote /where-to-swim to a full Swim hub (Pools/Safety/Conditions),5,2,4,4,4,3,4
6,76,Tool,Features,/bondi-map interactive layered facilities map (flagship link magnet),3,3,4,4,4,5,5
7,75.6,Create,Gap,Bondi accessibility guide (wheelchair/matting/step-free) — moat + links,3,2,5,4,4,5,4
8,75,Upgrade,Moat,Canonical swim-safety hub (rips/flags/patrol/bluebottles/sharks),4,1,5,5,4,3,3
9,74.8,Upgrade,AEO,Safety cluster AEO retrofit (12 Qs: answer-first + FAQ + source),4,1,5,5,4,2,4
10,73.8,Merge,Cannibalization,"Consolidate the Icebergs ""can you swim / access / hours"" swarm (~8 pages)",4,2,4,5,4,2,4
11,73.4,Create,Architecture,City2Surf & Running hub — rescue orphaned Sydney Marathon pages,4,2,5,3,4,3,4
12,73.4,Upgrade,AEO,Parking cluster AEO retrofit (options table + free-spot FAQ),4,1,5,5,4,2,3
13,73,Tool,Research,Bondi Coffee Price Index — annual flagship dataset (/bondi-coffee-price-index),3,2,4,4,4,5,5
14,72.8,Create,Gap,"Bondi vs CBD ""where to stay"" decision page",3,5,4,4,3,2,4
15,72.6,Tool,Features,Ocean-pool guide + closure/status tracker (Icebergs/Bronte),4,2,4,4,4,4,3
16,72.6,Create,Coastal,"Standalone: coastal-walk accessibility (step-free, matting, ramps)",3,1,5,4,4,5,4
17,72.4,Upgrade,AEO,Icebergs cluster AEO retrofit (definitional + volatile-price handling),4,2,4,5,4,2,3
18,71.6,Tool,Research,Coastal-walk dataset & map (segment times/gradient/steps/access),3,2,4,4,4,5,4
19,71.2,Create,AEO,Add `answer` + `table` block types + renderers (AEO substrate),3,2,4,5,4,2,5
20,71,Create,Coastal,Standalone: toilets & facilities along the Bondi→Coogee walk,3,1,5,5,4,3,3
21,70.8,Merge,Cannibalization,"Consolidate the 6-page ""ultimate Bondi travel guide"" cannibal cluster",4,2,4,3,5,2,4
22,70.8,Upgrade,Moat,Strengthen /things-to-do-in-bondi to actually rank p1 for the head term,4,3,4,3,4,2,4
23,69.8,Upgrade,Cannibalization,Expand best-restaurants-bondi-beach survivor BEFORE it absorbs redirects,3,4,4,3,4,2,4
24,68.8,Directory,Directory,Surf schools directory (/bondi-surf-schools) on the venue template,2,5,4,3,4,2,4
25,68.8,Directory,Directory,Activities / experiences directory + affiliate feed,3,5,3,3,4,2,4
26,68.4,Schema,Schema,Coastal-walk TouristAttraction + HowTo schema,3,2,4,4,4,3,4
27,68.4,Upgrade,AEO,Transport AEO retrofit — airport→Bondi options table,3,3,4,5,3,2,3
28,68.4,Create,Coastal,Standalone: cafes to eat before/after the coastal walk,3,4,4,4,3,2,3
29,68,Upgrade,Gap,Bondi vs Manly (and vs Coogee/Bronte) comparison hub,3,2,5,4,3,3,3
30,66.4,Create,Gap,Dog-friendly Bondi guide (rules + nearby dog beaches + cafes),3,2,5,4,3,2,3
31,66.4,Merge,Cannibalization,Consolidate swim-safety / where-to-swim cannibal cluster,4,1,4,4,4,2,3
32,65.8,Create,Architecture,Itineraries hub (feeds the /plan Day Planner),3,3,3,4,4,2,4
33,65.8,Create,Architecture,"Surfing hub (/bondi-surfing) — thin now, high commercial intent",2,4,4,3,4,2,4
34,65.4,Schema,Schema,"ItemList schema on ranked ""best X"" articles (AI top-N surface)",3,3,4,4,3,2,3
35,65.4,Create,Gap,/bondi-luggage-storage utility page (Bounce/Stasher affiliate),2,4,5,4,2,2,3
36,65.4,Merge,AEO,Bondi rules cluster (alcohol-free zones/BBQ/dogs/drones/fishing),3,1,4,5,4,2,3
37,64.4,Create,Gap,Weddings / proposals / functions lead-gen page,2,5,4,3,3,2,3
38,64.2,Upgrade,Architecture,Homepage: 12-hub front-door grid + plan band + footer mega-nav,3,3,3,2,5,2,5
39,64,Upgrade,Moat,Deep seasonal weather + sea-temp extension (rainfall/wind/storm),3,1,4,4,4,3,3
40,64,Create,Coastal,Standalone: whale watching on the coast (seasonal May–Nov),3,3,4,3,3,3,3
41,63.8,Upgrade,AEO,Systematize 4–6 self-contained FAQs per practical page + FAQPage,3,1,4,5,3,2,4
42,63.4,Create,Gap,"""Is Bondi worth visiting?"" consideration/persuasion page",3,1,5,4,3,2,3
43,62.8,Upgrade,Commercial,/stay directory-style surfacing + affiliate CTAs (P0 revenue),3,5,3,2,3,2,4
